NAME,ADDRESS,DINE-IN,TAKEOUT,DELIVERY,DRIVE-THROUGH,CURBSIDE-PICKUP,PHONE,CUISINE,RATING,TIMING-START,TIME-END,CITIES,,,,,,,,,,,
Tacos El Iturbidense,"Circle K Parking Lot, 6402 W 10th St ",Dine-in,Takeout,Delivery,,,(317) 603-1982,Mexican,4.7,18,1,Indianapolis,,,,,,,,,,,
Indy Food Shop,9940 E 38th St ,Dine-in,,,Drive-through,,(317) 480-3314,Tex Mex,,,,Indianapolis,,,,,,,,,,,
Taste of Manila Food Truck,,,,,,,(317) 629-5616,Asian,4.5,,,Indianapolis,,,,,,,,,,,
El Venezolano Food Truck,9642 Allisonville Rd Suite B ,Dine-in,Takeout,,,,(317) 288-0844,Venezuelan,3.7,,,Indianapolis,,,,,,,,,,,
The Latin Flavor,9930 E 38th St ,Dine-in,,,,Curbside pickup,(317) 895-9259,Mexican,,11,23,Indianapolis,,,,,,,,,,,
Fiesta on The Go,2719 E 38th St,Dine-in,Takeout,Delivery,,,,Mexican,4,16,20,Indianapolis,,,,,,,,,,,
Tortas Guicho Food Truck,"S. East St and, Fletcher Ave ",Dine-in,Takeout,Delivery,,,(317) 646-2502,Mexican,4.5,8,14,Indianapolis,,,,,,,,,,,
Kone Heads FoodTruck,7260 Michigan Rd ,,,,Drive-through,,(317) 506-9653,American,5,9,20,Indianapolis,,,,,,,,,,,
ClusterTruck - Castleton,4737 E 82nd St,,Takeout,Delivery,,,,Mediterranean,4.8,,,Indianapolis,,,,,,,,,,,
Birrieria Iturbidense,"Lot Food Truck, 6302 W Washington St ",Dine-in,,No-contact delivery,,Curbside pickup,(317) 828-3558,Mexican,4.7,18,1,Indianapolis,,,,,,,,,,,
Taste Of Cholulas,8901-8925 E Washington St ,Dine-in,,Delivery,Drive-through,,(317) 628-1258,Mexican,4.2,17,24,Indianapolis,,,,,,,,,,,
ClusterTruck - Broad Ripple,2101 E 62nd St ,,Takeout,Delivery,,,(317) 751-9543,Mediterranean,4.8,11,20,Indianapolis,,,,,,,,,,,
Talkin Turkey Real Cajun Food Truck & Catering,"Commercial Kitchen, 4550 Central Ave ",,,,,,(317) 809-3427,Tex Mex,,,,Indianapolis,,,,,,,,,,,
Tacos Tierra caliente Restaurant,5035 W Washington St ,Dine-in,Takeout,,,,(317) 515-8493,Mexican,4.8,11,24,Indianapolis,,,,,,,,,,,
Dogs to Go by Uncle Zo,"3376 W 10th St and, N Tibbs Ave ",,Takeout,,,,(317) 363-2456,Mexican,4.5,11,17,Indianapolis,,,,,,,,,,,
T'Days Jerk,36 E Troy Ave ,,Takeout,,,,(317) 991-6741,Tex Mex,4.4,,,Indianapolis,,,,,,,,,,,
Super Tacos,5653 W Washington St · ,Dine-in,Takeout,,,,(317) 656-9922,Mexican,4.6,10,22,Indianapolis,,,,,,,,,,,
Tacos Without Borders,,,,,,,(219) 508-7956,Mexican,4.2,,,Indianapolis,,,,,,,,,,,
Taqueria Mi Costa,1430 W Washington St ,Dine-in,Takeout,,,,(317) 937-5828,Mexican,4.3,11,23,Indianapolis,,,,,,,,,,,
Restaurante Oaxaca,5101 W 38th St ,Dine-in,,,Drive-through,,(317) 490-2429,Mexican,4.5,16,4,Indianapolis,,,,,,,,,,,
Gulas food truck,4002 E Washington St ,,,,,,(317) 800-2262,Venezuelan,4.8,,,Indianapolis,,,,,,,,,,,
Antojitos Rojas Y mas,6006 E 38th St ,Dine-in,Takeout,,,,(317) 797-3207,Mexican,4.8,16,1.5,Indianapolis,,,,,,,,,,,
T Street Eatz,"City Market, 222 E Market St ",Dine-in,,No-contact delivery,,Curbside pickup,(317) 800-4436,-,4.7,,,Indianapolis,,,,,,,,,,,
Dashboard Food Truck & Catering,"Greenwood, IN ",Dine-in,Takeout,,,,(317) 790-9227,American,5,,,Indianapolis,,,,,,,,,,,
Tacos y tortas arroyo,2120 W Morris St ,Dine-in,Takeout,,,,(317) 999-3333,Mexican,5,18,24,Indianapolis,,,,,,,,,,,
The Coney Lady,3827 N Mitthoefer Rd B13 ,,Takeout,Delivery,,,(317) 723-2048,American,4.5,,,Indianapolis,,,,,,,,,,,
Pi Indy,1125 E Brookside Ave,,,,,,(317) 657-1773,Italian,5,,,Indianapolis,,,,,,,,,,,
Snack shack,2405 N Harding St ,,,,,,,-,-,,,Indianapolis,,,,,,,,,,,
King Gyro Food Truck- Emerson Avenue,7140 S Emerson Ave ,Dine-in,Takeout,,,,(347) 666-3796,American,5,10,23,Indianapolis,,,,,,,,,,,
Brazilian street food,906 Carrollton Ave,Dine-in,Takeout,,,,,Brazilian,4.2,,,Indianapolis,,,,,,,,,,,
Tacos Maela,3440 Shadeland Ave ,Dine-in,Takeout,,,,(317) 500-5361,Mexican,4.7,11,20.5,Indianapolis,,,,,,,,,,,
Quick bite,3801 N High School Rd ,,,,,,(574) 440-3804,American,4.4,,,Indianapolis,,,,,,,,,,,
ClusterTruck - Carmel,"Carmel, IN ",,,,,,(317) 689-0294,Mediterranean,4.9,,,Indianapolis,,,,,,,,,,,
Taste of Liberia Foodtruck,"Indianapolis, IN ",,Takeout,Delivery,,,(317) 620-5714,African,5,10,20,Indianapolis,,,,,,,,,,,
Huge Impact Restaurant,5110 W 38th St ,Dine-in,Takeout,Delivery,,,(317) 975-0037,American,3.9,12,19,Indianapolis,,,,,,,,,,,
Indy Market Inc,2304 E 34th St,,Takeout,Delivery,,,,American,5,,,Indianapolis,,,,,,,,,,,
Chomp'z Truck,,,,,,,(317) 794-4699,American,4.6,,,Indianapolis,,,,,,,,,,,
indys culinary centre commisary & Catering,2955 N Meridian St Suite 201 ,,Takeout,Delivery,,,(317) 721-1390,-,5,7.5,14,Indianapolis,,,,,,,,,,,
Forked Up Catering LLC,,,,,,,(317) 792-0271,Fusion,5,9,17,Indianapolis,,,,,,,,,,,
Garcias Tacos,46241,,Takeout,,,,(317) 628-9778,Mexican,4.3,19,24,Indianapolis,,,,,,,,,,,
ChefTLC,,,,,,,(317) 902-5570,American,4.8,11,13,Indianapolis,,,,,,,,,,,
BB&B Bread Truck,2960 N Meridian St,,,Delivery,,,(317) 730-4778,Dessert,4.4,,,Indianapolis,,,,,,,,,,,
Taqueria Said,4838 W Washington St,,Takeout,,,,,Mexican,4.6,19.5,24,Indianapolis,,,,,,,,,,,
Indy All Night,1324 S East St,,Takeout,Delivery,,, (317) 690-0595,American,3.1,9,16,Indianapolis,,,,,,,,,,,
Tacos el chaparron,6320 W 34th St ,,Takeout,,,,(317) 909-3440,Family ,4.8,19,3,Indianapolis,,,,,,,,,,,
flavorbyfaith,2955 N Meridian St ,,,Delivery,,Curbside pickup,(317) 721-1390,,4.6,0,24,Indianapolis,,,,,,,,,,,
Dakomfort Zone,3702 W 16th St ,,,,,Curbside pickup,(317) 661-1761,Tex Mex,5,12,21,Indianapolis,,,,,,,,,,,
La Mulita,5215 N College Ave ,,,,,,(317) 925-0677,Mexican,4.2,,,Indianapolis,,,,,,,,,,,
Chapati,4930 Lafayette Rd G ,,Takeout,No-contact delivery,,,(317) 405-9874,Pakistani,4.2,11,21,Indianapolis,,,,,,,,,,,
Taquería el primo,2402 Lafayette Rd ,,Takeout,,,,(317) 502-5200,Mexican,5,14.5,2.5,Indianapolis,,,,,,,,,,,
Chef Oya's The TRAP,3355 N Keystone Ave ,,Takeout,,,,(317) 762-6172,Sea Food,4.4,11,15,Indianapolis,,,,,,,,,,,
Chapati Beta,906 Carrollton Ave Suite 425 ,,,No-contact delivery,,Curbside pickup,(317) 220-8209,Pakistani,3.4,11,22,Indianapolis,,,,,,,,,,,
Divine Bar B Cue,8748 W Washington St ,Dine-in,Takeout,Delivery,,,(317) 248-9800,Barbeque,4.3,11,20.5,Indianapolis,,,,,,,,,,,
Hoagies and Hops Butler-Tarkington,4155 Boulevard Pl ,Dine-in,,Delivery,,Curbside pickup,(317) 426-5731,American,4.4,11,19.5,Indianapolis,,,,,,,,,,,
Condado Tacos,530 Massachusetts Ave Suite 190 ,Dine-in,Takeout,Delivery,,,(317) 222-5999,Mexican,4.5,11,23,Indianapolis,,,,,,,,,,,
Yanni's Golden Gyros,6658 W Washington St ,Dine-in,,Delivery,Drive-through,,(317) 362-2500,Greek,4.7,11,21,Indianapolis,,,,,,,,,,,
Subito,34 N Delaware St ,,,No-contact delivery,,Curbside pickup,(317) 220-8211,,4.9,10,15,Indianapolis,,,,,,,,,,,
Dizzy Izzy's Food Truck and Catering,,,,,,,(317) 447-2458,,5,,,Indianapolis,,,,,,,,,,,
Thai Town Cuisine 1 (High School Rd),1237 S High School Rd ,Dine-in,,Delivery,Drive-through,,(317) 731-6769,Thai,4.5,11,21,Indianapolis,,,,,,,,,,,
Squealers Award Winning Barbeque,5515 W 86th St ,Dine-in,,No-contact delivery,,Curbside pickup,(317) 871-7427,Barbeque,4.4,11,21,Indianapolis,,,,,,,,,,,
Uno Más Taco Truck,"2600 S Walnut St, Bloomington, IN 47403 . ",Dine-in,Takeout,,,,(812) 272-9543,Mexican,4.6,,,Bloomington,,,,,,,,,,,
La Poblana Taco Truck,"1320 E 3rd St, Bloomington, IN 47401",Dine-in,Takeout,,,,(812) 360-9091,Mexican,3.9,11,21,Bloomington,,,,,,,,,,,
"PappyShack Food Truck",,Dine-in,Takeout,,,,(812) 340-6455,American,3.8,8,16,Bloomington,,,,,,,,,,,
"Los Hidalguense Taco Truck","1040 W Bloomington Rd, Champaign, IL 61821",Dine-in,Takeout,,,,,Mexican,4.6,11.5,21,Bloomington,,,,,,,,,,,
"Arepa Burger","223 S Pete Ellis Dr, Bloomington, IN 47408",Dine-in,Takeout,Delivery,,,,Venezuelan,4.8,13,21,Bloomington,,,,,,,,,,,
"Bloom Burger Food Truck","S College Mall Rd, Bloomington, IN 47401",Dine-in,Takeout,Delivery,,,,American,4.7,,,Bloomington,,,,,,,,,,,
Tortas Food Truck,"311 Sagamore Pkwy N, Lafayette, IN 47905",Dine-in,Takeout,,,,(765) 607-3341,Mexican,4.8,10,20,West Lafayette,,,,,,,,,,,
"Tacos Mexico Food Truck","3109 South St, Lafayette, IN 47904",Dine-in,Takeout,,,,(765) 701-3990,Mexican,4.6,19,3,West Lafayette,,,,,,,,,,,
"The Guac Box","1400 W State St STE K, West Lafayette, IN 47906",Dine-in,Takeout,Delivery,,,(765) 421-3230,Tex Mex,4.2,11,1,West Lafayette,,,,,,,,,,,
Famous Frank's,"30 Pierce St, West Lafayette, IN 47906",Dine-in,Takeout,,,,,Mexican Fusion,4.6,23,3.5,West Lafayette,,,,,,,,,,,
Pico de Gallo Food Truck,"3014 Lafayette Rd #3000, Indianapolis, IN 46222",Dine-in,Takeout,,,,(317) 658-6970,Mexican,4.5,17,4,West Lafayette,,,,,,,,,,,
"One Love Food Truck","6338 E State Blvd, Fort Wayne, IN 46815",Dine-in,Takeout,Delivery,,,(260) 417-7233,Carribean,4.2,,,Fort Wayne,,,,,,,,,,,
"Ziffles Zip n Go","6338 E State Blvd, Fort Wayne, IN 46815",Dine-in,Takeout,,,,(260) 417-7233,Barbeque,4.5,11,20,Fort Wayne,,,,,,,,,,,
The Pizza Revolution,"3443 Kansas Rd, Evansville, IN 47725",Dine-in,Takeout,,,,(812) 760-0186,Italian,5,16.5,20,Evansville,,,,,,,,,,,
Taco Movil,"413 S Bendix Dr, South Bend, IN 46619",Dine-in,Takeout,,,,,Mexican,4.5,22,24,South Bend,,,,,,,,,,,
"Rico Suave Drivethru & Food Truck","5307 W Western Ave Unit B, South Bend, IN 46619",Dine-in,Takeout,Delivery,,,(574)514-2629,Mexican,4.3,9,19,South Bend,,,,,,,,,,,
"Ice Cream On Wheels of South Bend","56565 Pine Rd, South Bend, IN 46619",Dine-in,Takeout,,,,(800) 884-9793,Dessert,5,0,24,South Bend,,,,,,,,,,,
"Wiener Shack & Grill Food Truck","11665 McKinley Hwy, Osceola, IN 46561",Dine-in,Takeout,,,,(574) 286-6607,American,4.8,16.5,21,South Bend,,,,,,,,,,,
Balkan Grill Company,"3101 Grant St, Gary, IN 46408",Dine-in,Takeout,,,,,Serbian,4.6,10,17,Gary,,,,,,,,,,,
Chela's,"5115 Broadway, Gary, IN 46409",Dine-in,,Delivery,,Curbside pickup,,Mexican,4.6,10,21,Gary,,,,,,,,,,,
"Elio's Hot Dogs & Mexican Food","6210 W 5th Ave, Gary, IN 46406",Dine-in,Takeout,,,,(219) 944-8155,Mexican,4.4,10,17,Gary,,,,,,,,,,,
"Sea Dogs Hot Dogs & Pizza","705-899 N Lake St, Gary, IN 46403",,,,,,,American,5,11,19,Gary,,,,,,,,,,,
Fat Guys Fries INC,,,,,,,,American,4.7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"See more food trucks that cater in South Bend, IN.",https://www.yelp.com/search?find_desc=Catering+Food+Trucks&find_loc=South+Bend%2C+IN,,,,,https://www.yelp.com/search?find_desc=Food+Trucks&find_loc=South+Bend%2C+IN
